seed,extinction_time,survived_to_T,final_front,final_active_tips,final_segments,bifurcations,terminations
1000,125.0,False,74.55480222538151,0,134,8,9
1001,,True,160.97014683580184,1,554,48,48
1002,31.0,False,11.132960276925964,0,41,4,5
1003,57.0,False,24.785266351832163,0,72,6,7
1004,,True,218.78578897494077,7,639,53,47
1005,108.0,False,40.726030561629074,0,148,13,14
1006,155.0,False,57.72782058631005,0,286,22,23
1007,125.0,False,54.97800781474314,0,188,14,15
1008,108.0,False,60.40346681324026,0,351,37,38
1009,121.0,False,52.966814417896124,0,181,21,22
1010,60.0,False,28.139550998385666,0,71,6,7
1011,134.0,False,31.166249869207174,0,187,16,17
1012,34.0,False,30.79438339502635,0,50,4,5
1013,28.0,False,7.704277222110144,0,34,3,4
1014,120.0,False,61.47201929979519,0,145,10,11
1015,143.0,False,79.31385902596881,0,459,43,44
1016,19.0,False,17.221706925870993,0,37,5,6
1017,175.0,False,47.2895355135964,0,284,28,29
1018,117.0,False,22.96761305686215,0,138,11,12
1019,66.0,False,18.827145921342467,0,98,12,13
1020,172.0,False,100.32802658758368,0,310,27,28
1021,44.0,False,12.792601250294753,0,77,7,8
1022,36.0,False,28.649305262949706,0,45,4,5
1023,94.0,False,85.90542056122177,0,114,10,11
1024,166.0,False,63.43546369617159,0,251,26,27
1025,129.0,False,94.13951245786187,0,463,57,58
1026,168.0,False,113.11229764511039,0,234,21,22
1027,112.0,False,54.08275373307846,0,210,23,24
1028,71.0,False,16.527813970443944,0,83,7,8
1029,256.0,False,147.25221396521542,0,909,92,93
1030,137.0,False,62.52801059556262,0,260,29,30
1031,198.0,False,94.78417688407323,0,690,70,71
1032,79.0,False,30.311410562644113,0,157,20,21
1033,,True,211.818948762587,5,1349,129,125
1034,112.0,False,71.8573715298067,0,139,10,11
1035,,True,138.43235248322017,1,1083,92,92
1036,69.0,False,13.223015239914025,0,96,10,11
1037,139.0,False,102.53034480551577,0,219,23,24
1038,185.0,False,64.660416831678,0,328,32,33
1039,155.0,False,57.90352112149713,0,197,18,19
1040,,True,88.62535103977031,1,485,39,39
1041,229.0,False,129.8916719841877,0,565,57,58
1042,46.0,False,13.690100338391206,0,52,4,5
1043,60.0,False,49.92805837327444,0,72,7,8
1044,143.0,False,71.8680453591776,0,376,31,32
1045,106.0,False,40.54447743077142,0,155,14,15
1046,,True,218.66244752863489,1,809,71,71
1047,17.0,False,14.375940175252238,0,26,3,4
1048,,True,220.32394813435033,6,1071,118,113
1049,,True,218.40374235876436,3,587,56,54
1050,220.0,False,117.110956183891,0,334,24,25
1051,,True,242.08007251518987,2,1043,109,108
1052,228.0,False,131.36827676935502,0,369,27,28
1053,99.0,False,31.130459204712032,0,155,17,18
1054,285.0,False,79.96319640580548,0,728,65,66
1055,13.0,False,11.407868239432643,0,36,5,6
1056,190.0,False,97.36720916837507,0,386,44,45
1057,26.0,False,13.255167746052757,0,41,5,6
1058,264.0,False,97.38707781655165,0,484,51,52
1059,113.0,False,34.466388888898045,0,166,16,17
1060,15.0,False,5.403109758639374,0,20,2,3
1061,77.0,False,42.5074686397768,0,166,19,20
1062,107.0,False,48.37192394227685,0,133,8,9
1063,65.0,False,57.915907123938105,0,95,11,12
1064,9.0,False,6.591810617824692,0,12,1,2
1065,28.0,False,24.411476252896268,0,39,4,5
1066,229.0,False,114.88251084063228,0,462,44,45
1067,145.0,False,37.00454207976957,0,212,22,23
1068,40.0,False,14.97154322126685,0,52,6,7
1069,142.0,False,49.98313614139026,0,247,21,22
1070,102.0,False,51.3809547891305,0,267,31,32
1071,101.0,False,64.70438183418517,0,124,10,11
1072,32.0,False,11.220383051642461,0,33,2,3
1073,,True,186.13227806306872,2,1124,131,130
1074,,True,198.92362393654835,4,1069,115,112
1075,104.0,False,41.37999811380338,0,130,7,8
1076,257.0,False,193.32930261735535,0,1041,102,103
1077,74.0,False,33.56325218179492,0,127,12,13
1078,115.0,False,85.75979486411953,0,143,15,16
1079,45.0,False,10.58502698951717,0,79,9,10
1080,18.0,False,5.668818588350118,0,37,5,6
1081,154.0,False,89.09174952145109,0,666,74,75
1082,58.0,False,23.886662222981283,0,62,5,6
1083,237.0,False,96.78837948559992,0,531,52,53
1084,55.0,False,28.836979297248604,0,126,11,12
1085,243.0,False,101.82484866217415,0,365,29,30
1086,,True,212.45404251986008,1,1337,147,147
1087,144.0,False,87.65905360390457,0,261,16,17
1088,162.0,False,73.31944180478352,0,225,21,22
1089,37.0,False,26.749331991559412,0,44,4,5
1090,55.0,False,21.224155653815462,0,57,3,4
1091,257.0,False,188.54191790766708,0,1062,115,116
1092,,True,182.27914028670335,2,580,61,60
1093,,True,190.6794182595732,5,852,91,87
1094,67.0,False,23.850208113849046,0,69,3,4
1095,,True,162.6695179591722,1,748,74,74
1096,62.0,False,11.702205364552476,0,71,6,7
1097,25.0,False,21.267230056096718,0,34,3,4
1098,167.0,False,73.33491604539117,0,212,20,21
1099,17.0,False,15.046506117689795,0,30,4,5
