z,active_density_mean,active_density_sem,inactive_density_mean,inactive_density_sem,n_times
-164.0,1.7899581508819955e-10,1.7899581508819953e-10,0.4069266818945623,0.40692668189456227,5
-162.0,2.3524342797862927e-10,2.352434279786292e-10,0.4052631669517569,0.40526316695175685,5
-160.0,3.1357064201072065e-10,3.1357064201072065e-10,0.40314363925998764,0.4031436392599876,5
-158.0,4.199353920465581e-10,4.1993539204655815e-10,0.4017620394497502,0.40176203944975014,5
-156.0,5.625892928600737e-10,5.625892928600736e-10,0.40102875487687506,0.40102875487687506,5
-154.0,7.529560246659291e-10,7.52956024665929e-10,0.40065345739248476,0.4006534573924847,5
-152.0,1.0065630507235126e-09,1.0065630507235124e-09,0.40046212391082536,0.40046212391082536,5
-150.0,1.3442874085869594e-09,1.3442874085869592e-09,0.4003648038143922,0.40036480381439216,5
-148.0,4.340025510201709e-09,2.7233793566906524e-09,0.8025068799588706,0.4914353305054947,5
-146.0,5.153951715955052e-09,3.1694965333287182e-09,0.8033469485620852,0.4919523865624421,5
-144.0,6.406309553077471e-09,3.923093129359293e-09,0.8051334294001627,0.4930547971759073,5
-142.0,8.217210567154057e-09,5.0372679417959616e-09,0.8069932011276407,0.49420669167064835,5
-140.0,1.0760329330811805e-08,6.605335643981819e-09,0.8069442898183841,0.4941763918159158,5
-138.0,1.426182562466717e-08,8.759604881020765e-09,0.8049657283174142,0.49295126633530795,5
-136.0,1.900728225413827e-08,1.167415967739067e-08,0.8029878587237207,0.49173145677252583,5
-134.0,2.5374584616614496e-08,1.5581914076171773e-08,0.8017978162988346,0.4909998985962666,5
-132.0,3.387745151350575e-08,2.079911058050063e-08,0.8011769455296651,0.49061894111798626,5
-130.0,4.521099439418627e-08,2.775280579843218e-08,0.8008597737275405,0.49042451803218506,5
-128.0,6.030836203820008e-08,3.7015737619931864e-08,0.80069818341532,0.49032551405825836,5
-126.0,1.5016010645690612e-07,6.704914371333745e-08,1.2027053568618191,0.4910051026627725,5
-124.0,1.797200749296435e-07,7.5496988084977e-08,1.2030808685345609,0.491159886493322,5
-122.0,2.2404290517233808e-07,9.206645605857079e-08,1.2044073792167707,0.4917080961568274,5
-120.0,2.8710669068617556e-07,1.174502523955314e-07,1.206446148854814,0.4925564054053338,5
-118.0,3.747035615355614e-07,1.5337040944342927e-07,1.207558734189386,0.49302231635766186,5
-116.0,4.946714810001236e-07,2.0266114433267863e-07,1.206341802977653,0.4925129313001321,5
-114.0,6.570771049303922e-07,2.6929108330102064e-07,1.2041537748543256,0.4916032454895946,5
-112.0,8.750314280957686e-07,3.5861157356359973e-07,1.2025671841658823,0.4909486461196224,5
-110.0,1.1661488975323047e-06,4.778564719823947e-07,1.2017020097882134,0.49059348225072685,5
-108.0,1.5542035070622832e-06,6.367762733183504e-07,1.2012576166137479,0.4904115466853346,5
-106.0,2.0710984842487507e-06,8.484382476076206e-07,1.2010306725416164,0.490318764448271,5
-104.0,2.7594690305293673e-06,1.1302934197757477e-06,1.2009147812584733,0.49027141794398194,5
-102.0,5.739517622346099e-06,1.6527641928572746e-06,1.6030449094658983,0.40076547240429083,5
-100.0,7.107087907642099e-06,1.8694046263497576e-06,1.603879023701077,0.4009787870103439,5
-98.0,9.044059795181984e-06,2.2950982550315088e-06,1.605661281271742,0.4014398507831377,5
-96.0,1.1723296229799953e-05,2.9462307851620345e-06,1.6075172674115628,0.4019278674116093,5
-94.0,1.5383982766859464e-05,3.862199090804391e-06,1.6074642005893007,0.4019139334225709,5
-92.0,2.033945194808901e-05,5.10933146084678e-06,1.6054805150118647,0.4013930560368961,5
-90.0,2.699486252329443e-05,6.7842855878172825e-06,1.603496008164449,0.4008810434835246,5
-88.0,3.588815086322031e-05,9.021095572978628e-06,1.6022972145037577,0.4005761744384911,5
-86.0,4.774346869987237e-05,1.2001729355221284e-05,1.601664733410565,0.4004166686149042,5
-84.0,6.353292180998476e-05,1.5970459153264856e-05,1.6013321240708418,0.4003331561610081,5
-82.0,8.455589098573759e-05,2.1253504556267465e-05,1.6011499909885802,0.4002875298783077,5
-80.0,0.0001792911318147044,3.8718632840739296e-05,2.0030690277041554,0.0017702288593801864,5
-78.0,0.00021839969874641054,3.137097210658763e-05,2.0034063099572825,0.002203492795529246,5
-76.0,0.00027378562487161275,2.5013296042749667e-05,2.0046786472484834,0.0035622264773055305,5
-74.0,0.0003503102028502868,1.9588763894515954e-05,2.0066425669130004,0.005619781664283547,5
-72.0,0.0004547888951123112,1.5553459313880033e-05,2.0076529897097544,0.006743983073916758,5
-70.0,0.0005963091268254043,1.3742015368735928e-05,2.006297717204481,0.005534738353404514,5
-68.0,0.0007866015718867823,1.4701531596773058e-05,2.0039236969153498,0.0033524305792080027,5
-66.0,0.001041031404262531,1.8321410475938405e-05,2.002088422648085,0.001771061782207024,5
-64.0,0.0013801670667205278,2.443072741437443e-05,2.0008917356700917,0.000911770749559622,5
-62.0,0.00183159495956486,3.320826600103014e-05,2.0000059789207585,0.0004750007030950849,5
-60.0,0.0024321350935569393,4.5141963339343985e-05,1.9991917181549135,0.00025884788870438616,5
-58.0,0.003230754057975055,6.095533616524657e-05,1.9982944754127847,0.0001591063979431198,5
-56.0,0.004292417374376064,8.159483323746197e-05,1.9971958442844024,0.0001232824040529763,5
-54.0,0.005703145144696506,0.0001082533448499372,1.9957830539222232,0.00012303919895880264,5
-52.0,0.007576592555495263,0.0001424090965989877,1.9939292502303374,0.00014322277845123918,5
-50.0,0.010062534300293446,0.00018586870278936547,1.991478026745056,0.00017787076721057732,5
-48.0,0.0133576698730045,0.00024080544894478393,1.988228523357329,0.00022586627367501044,5
-46.0,0.01771915226688941,0.00030978095192564774,1.9839188108029593,0.00028828014283216837,5
-44.0,0.023481115105794544,0.0003957312480116544,1.9782059551276738,0.00036737156890497756,5
-42.0,0.031074125262617214,0.0005018867403273194,1.9706415186955197,0.00046622006937316443,5
-40.0,0.04104673896573986,0.0006315783990344958,1.960641572318396,0.0005885315179885633,5
-38.0,0.054086901860607176,0.0007878596847169927,1.947450809942568,0.0007384501073720147,5
-36.0,0.07103838348853751,0.0009728465771817435,1.9301013685578525,0.0009202798137708709,5
-34.0,0.09290322122245225,0.0011866541807238294,1.9073688701732283,0.0011380264011367081,5
-32.0,0.1208147140784869,0.001425806732382588,1.8777315746230165,0.0013946646733558473,5
-30.0,0.15595671808221834,0.0016810583159758393,1.8393440186462857,0.0016910391043731853,5
-28.0,0.1993951348296988,0.0019347532636185072,1.7900446402000518,0.0020243474150277233,5
-26.0,0.25178115972392157,0.0021582708993568953,1.7274273973069334,0.002386278905709706,5
-24.0,0.3128937475817851,0.0023108035147970845,1.6490179686273951,0.002761134454234736,5
-22.0,0.3810295776691856,0.0023415964182880653,1.5525993631264225,0.003124668455607966,5
-20.0,0.45234520585507915,0.0021982792240933056,1.436717297105241,0.0034448714495204404,5
-18.0,0.5204146804225982,0.0018428384771763222,1.301345423513061,0.003686098871212167,5
-16.0,0.5764344605463633,0.001272775529090248,1.148592613398622,0.0038171536941232643,5
-14.0,0.6105312243002797,0.0005394032189864008,0.9832055847092374,0.0038214810592566133,5
-12.0,0.6142871799357439,0.00027990692652291076,0.8125316159210026,0.003704105046376497,5
-10.0,0.5838260334946715,0.0010175916841467527,0.64567568732097,0.0034886883629477346,5
-8.0,0.5220000658895668,0.0016020883703354687,0.491890053435014,0.003203950004820316,5
-6.0,0.43819570433703603,0.0019737857095567606,0.3586693986690694,0.0028699415983625483,5
-4.0,0.3454746162509069,0.0021288188463237274,0.25029157312356526,0.0024972496151592512,5
-2.0,0.256446650148615,0.002094732913716195,0.1673789635162462,0.002097692533181886,5
0.0,0.17998487448228692,0.0019146923510925252,0.10753112023498816,0.0016921719758118856,5
2.0,0.12006736159702418,0.0016404628551934806,0.0665801353382153,0.0013076599678479798,5
4.0,0.0765669285867895,0.001325529892047504,0.03987245735199248,0.0009682482646624359,5
6.0,0.046937097964154774,0.0010157196149657313,0.023176736533380947,0.0006883330807001414,5
8.0,0.027802237566583777,0.0007421088815418988,0.013119165823029222,0.00047118706666797,5
10.0,0.015983753125998142,0.000519619802233614,0.007252612295166908,0.0003115547749075023,5
12.0,0.00895272116359284,0.00035027825324514977,0.003925501736382271,0.00019958388635584574,5
14.0,0.0049007306945647545,0.00022822365899074722,0.0020845481053666155,0.00012420479319557703,5
16.0,0.0026284168844252637,0.0001442005896632854,0.0010879112410741279,7.526509415433406e-05,5
18.0,0.0013840181821540474,8.859911409534307e-05,0.00055880247778006,4.4500808734312474e-05,5
20.0,0.0007166708819204311,5.3056996706604134e-05,0.0002828258971188596,2.571652859004019e-05,5
22.0,0.00036543545861991207,3.1026941009658423e-05,0.00014119019494449416,1.4546995241516672e-05,5
24.0,0.00018369341298274093,1.7746863295081935e-05,6.957878887748049e-05,8.065137763114184e-06,5
26.0,9.111039296174068e-05,9.94244070967066e-06,3.387247669706112e-05,4.3875293446187614e-06,5
28.0,4.462437342548938e-05,5.4623119464653405e-06,1.6299906398660237e-05,2.3444168943536397e-06,5
30.0,2.1597208638696933e-05,2.946002259781268e-06,7.757639519413876e-06,1.2315392132926088e-06,5
32.0,1.0334731170161646e-05,1.5612562914933632e-06,3.653363295888673e-06,6.36525411410046e-07,5
34.0,4.892182079174458e-06,8.137134030498481e-07,1.7032018181814106e-06,3.2393858602743305e-07,5
36.0,2.2919769251887294e-06,4.1741103206981776e-07,7.863620589870964e-07,1.6243853349885202e-07,5
38.0,1.0631752679201412e-06,2.108936829220305e-07,3.5968280028697407e-07,8.031066227671107e-08,5
40.0,4.884864254945948e-07,1.0501697849085966e-07,1.6304250490688113e-07,3.9171885782762425e-08,5
42.0,2.22384380368471e-07,5.157283782209298e-08,7.326497397631958e-08,1.8859719628509866e-08,5
44.0,1.0034546917488636e-07,2.4991927618540764e-08,3.2645584665296575e-08,8.967723800998206e-09,5
