metrica,media,mediana,desviacion_tipica,minimo,maximo
delta_x_max,1.3599402392280504,0.0,71.00905232342743,-181.4352500770018,231.85253980381398
delta_alcanza_90pct,0.03333333333333333,0.0,0.41384099339733366,-1.0,1.0
delta_segmentos,63.43333333333333,0.0,939.5401914044805,-1816.0,3909.0
delta_bifurcaciones,9.633333333333333,0.0,97.37289976782763,-171.0,426.0
delta_colisiones,10.266666666666667,0.0,89.86462359968267,-148.0,397.0
delta_salidas_frontera,-0.6333333333333333,0.0,8.281609594231327,-23.0,29.0
delta_tiempo_final,7.033333333333333,0.0,117.08896804046745,-207.0,532.0
delta_max_puntas_activas,0.26666666666666666,0.0,3.8679347900694867,-9.0,15.0
delta_puntas_activas_finales,0.0,0.0,0.0,0.0,0.0
delta_extinta,0.0,0.0,0.0,0.0,0.0
